City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,High Rock,BS,84.18,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
515,Salamanca,ES,75.99,scattered clouds,40.8333,-6.0,Palacio Carrascalino
519,Kijang,KR,79.74,overcast clouds,35.2442,129.2139,Samyang Beach Villa
522,Acarau,BR,77.5,clear sky,-2.8856,-40.12,castelo pizzaria
530,Dong Hoi,VN,80.28,light rain,17.4833,106.6,Nam Long Hotel
533,Wajid,SO,72.5,broken clouds,3.8093,43.2471,xamdihotelresturant114
535,Salmas,IR,70.47,clear sky,38.1973,44.7653,Ata Hotel
536,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
537,Nantucket,US,75.34,overcast clouds,41.2835,-70.0995,Jared Coffin House
538,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
539,Kalmunai,LK,78.04,overcast clouds,7.4167,81.8167,VS Villa
543,Fort Nelson,CA,87.46,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
544,Umred,IN,77.29,overcast clouds,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
545,Margate,GB,69.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
547,Ilebo,CD,75.85,clear sky,-4.3167,20.5833,Hôtel BUMAK
548,Mangrol,IN,80.64,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
551,Woensdrecht,NL,73.92,clear sky,51.4163,4.337,Grenshotel - Restaurant De Jonckheer
553,Marsa Matruh,EG,77.86,clear sky,31.3525,27.2453,Beau Site
554,Semnan,IR,78.8,clear sky,35.5729,53.3971,Semnan Tourist Hotel
560,Zhicheng,CN,81.99,overcast clouds,30.2956,111.5047,Wangjiang Building
561,Shingu,JP,80.58,overcast clouds,33.7333,135.9833,Shingu UI Hotel
562,Omboue,GA,71.73,few clouds,-1.5746,9.2618,Hotel Olako
563,Ende,ID,76.87,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
